epochs,batch_size,mae,mse,r2,label
50,16,7.090152579880186,95.35933648737465,0.02816677715999394,50-16
100,32,7.074212205131126,95.9267878042543,0.025889273217155617,100-32
150,64,7.096601291788231,95.64088581927811,0.027896929256877145,150-64
